# t x y z qx qy qz qw vx vy vz
0.476667 0.076138 -2.442218 1.551898 -0.096801 0.188160 0.209672 0.954601 1.317358 -5.714393 5.775975
0.480000 0.080555 -2.461280 1.571210 -0.097350 0.189244 0.210884 0.954064 1.333104 -5.722987 5.811367
0.483333 0.085025 -2.480371 1.590640 -0.097895 0.190321 0.212087 0.953527 1.348851 -5.731586 5.846741
0.486667 0.089547 -2.499491 1.610188 -0.098435 0.191390 0.213283 0.952991 1.364597 -5.740188 5.882096
0.490000 0.094122 -2.518639 1.629854 -0.098971 0.192451 0.214470 0.952455 1.380342 -5.748796 5.917433
0.493333 0.098750 -2.537816 1.649638 -0.099502 0.193504 0.215648 0.951920 1.396088 -5.757408 5.952753
0.496667 0.103430 -2.557022 1.669539 -0.100029 0.194549 0.216818 0.951386 1.411833 -5.766025 5.988056
0.500000 0.108162 -2.576256 1.689558 -0.100552 0.195586 0.217979 0.950853 1.427577 -5.774649 6.023345
0.503333 0.112947 -2.595520 1.709694 -0.101070 0.196614 0.219132 0.950320 1.443321 -5.783278 6.058620
0.506667 0.117784 -2.614812 1.729949 -0.101583 0.197635 0.220275 0.949790 1.459064 -5.791914 6.093884
0.510000 0.122674 -2.634132 1.750320 -0.102092 0.198647 0.221410 0.949260 1.474805 -5.800556 6.129140
0.513333 0.127616 -2.653482 1.770810 -0.102595 0.199651 0.222536 0.948732 1.490545 -5.809206 6.164389
0.516667 0.132611 -2.672860 1.791416 -0.103095 0.200646 0.223652 0.948205 1.506282 -5.817865 6.199635
0.520000 0.137658 -2.692268 1.812140 -0.103589 0.201633 0.224759 0.947680 1.522015 -5.826531 6.234880
0.523333 0.142758 -2.711704 1.832982 -0.104079 0.202612 0.225857 0.947156 1.537744 -5.835207 6.270129
0.526667 0.147910 -2.731169 1.853941 -0.104564 0.203582 0.226946 0.946634 1.553468 -5.843892 6.305383
0.530000 0.153114 -2.750663 1.875018 -0.105044 0.204543 0.228025 0.946114 1.569186 -5.852588 6.340647
0.533333 0.158371 -2.770186 1.896212 -0.105519 0.205496 0.229094 0.945597 1.584896 -5.861294 6.375925
0.536667 0.163680 -2.789739 1.917524 -0.105990 0.206440 0.230154 0.945081 1.600597 -5.870011 6.411220
0.540000 0.169041 -2.809320 1.938954 -0.106455 0.207376 0.231204 0.944567 1.616288 -5.878739 6.446535
0.543333 0.174455 -2.828930 1.960501 -0.106915 0.208304 0.232245 0.944056 1.631968 -5.887479 6.481876
0.546667 0.179921 -2.848570 1.982166 -0.107371 0.209223 0.233275 0.943546 1.647634 -5.896231 6.517245
0.550000 0.185439 -2.868238 2.003950 -0.107822 0.210133 0.234296 0.943040 1.663284 -5.904996 6.552647
0.553333 0.191010 -2.887936 2.025851 -0.108267 0.211036 0.235306 0.942535 1.678919 -5.913773 6.588084
0.556667 0.196632 -2.907664 2.047870 -0.108708 0.211929 0.236307 0.942034 1.694535 -5.922563 6.623559
0.560000 0.202307 -2.927420 2.070008 -0.109143 0.212815 0.237297 0.941535 1.710130 -5.931367 6.659075
0.563333 0.208033 -2.947206 2.092264 -0.109574 0.213692 0.238276 0.941039 1.725704 -5.940183 6.694635
0.566667 0.213811 -2.967021 2.114639 -0.109999 0.214560 0.239246 0.940545 1.741254 -5.949012 6.730240
0.570000 0.219641 -2.986866 2.137132 -0.110419 0.215420 0.240205 0.940055 1.756780 -5.957855 6.765891
0.573333 0.225523 -3.006741 2.159745 -0.110834 0.216271 0.241153 0.939568 1.772280 -5.966710 6.801589
0.576667 0.231457 -3.026644 2.182476 -0.111243 0.217113 0.242090 0.939084 1.787753 -5.975578 6.837332
0.580000 0.237441 -3.046578 2.205327 -0.111648 0.217946 0.243017 0.938604 1.803198 -5.984458 6.873120
0.583333 0.243478 -3.066541 2.228297 -0.112046 0.218768 0.243933 0.938127 1.818615 -5.993350 6.908951
0.586667 0.249565 -3.086533 2.251387 -0.112439 0.219581 0.244838 0.937654 1.834004 -6.002254 6.944823
0.590000 0.255704 -3.106556 2.274596 -0.112826 0.220383 0.245732 0.937186 1.849366 -6.011170 6.980732
0.593333 0.261895 -3.126608 2.297925 -0.113207 0.221174 0.246615 0.936722 1.864701 -6.020098 7.016674
0.596667 0.268136 -3.146690 2.321374 -0.113582 0.221952 0.247487 0.936262 1.880012 -6.029038 7.052645
0.600000 0.274428 -3.166801 2.344943 -0.113950 0.222716 0.248348 0.935808 1.895300 -6.037991 7.088640
0.603333 0.280771 -3.186943 2.368632 -0.114311 0.223467 0.249197 0.935359 1.910569 -6.046957 7.124654
0.606667 0.287165 -3.207115 2.392441 -0.114665 0.224201 0.250034 0.934916 1.925822 -6.055937 7.160683
0.610000 0.293610 -3.227316 2.416370 -0.115011 0.224919 0.250860 0.934480 1.941064 -6.064934 7.196720
0.613333 0.300105 -3.247547 2.440419 -0.115350 0.225619 0.251675 0.934050 1.956302 -6.073949 7.232762
0.616667 0.306652 -3.267809 2.464588 -0.115680 0.226299 0.252478 0.933628 1.971543 -6.082984 7.268805
0.620000 0.313249 -3.288101 2.488877 -0.116002 0.226957 0.253269 0.933214 1.986794 -6.092042 7.304843
0.623333 0.319897 -3.308423 2.513287 -0.116314 0.227594 0.254048 0.932808 2.002067 -6.101127 7.340874
0.626667 0.326596 -3.328775 2.537817 -0.116617 0.228207 0.254816 0.932411 2.017370 -6.110243 7.376895
0.630000 0.333346 -3.349158 2.562466 -0.116910 0.228794 0.255571 0.932024 2.032717 -6.119394 7.412904
0.633333 0.340148 -3.369571 2.587236 -0.117193 0.229356 0.256315 0.931646 2.048120 -6.128584 7.448901
0.636667 0.347001 -3.390015 2.612126 -0.117466 0.229891 0.257047 0.931278 2.063593 -6.137820 7.484884
0.640000 0.353905 -3.410490 2.637135 -0.117728 0.230397 0.257767 0.930921 2.079151 -6.147106 7.520855
0.643333 0.360862 -3.430996 2.662265 -0.117980 0.230876 0.258475 0.930574 2.094807 -6.156447 7.556815
0.646667 0.367871 -3.451533 2.687514 -0.118220 0.231325 0.259170 0.930238 2.110576 -6.165851 7.592766
0.650000 0.374933 -3.472102 2.712883 -0.118450 0.231746 0.259854 0.929914 2.126473 -6.175321 7.628711
0.653333 0.382047 -3.492702 2.738372 -0.118668 0.232137 0.260526 0.929600 2.142509 -6.184863 7.664654
0.656667 0.389216 -3.513334 2.763981 -0.118876 0.232499 0.261186 0.929298 2.158695 -6.194480 7.700597
0.660000 0.396439 -3.533999 2.789709 -0.119072 0.232833 0.261834 0.929007 2.175041 -6.204176 7.736546
0.663333 0.403717 -3.554695 2.815558 -0.119257 0.233138 0.262469 0.928727 2.191550 -6.213952 7.772505
0.666667 0.411050 -3.575425 2.841526 -0.119432 0.233414 0.263093 0.928459 2.208224 -6.223807 7.808477
0.670000 0.418438 -3.596188 2.867614 -0.119595 0.233664 0.263705 0.928201 2.225059 -6.233739 7.844466
0.673333 0.425884 -3.616983 2.893822 -0.119749 0.233886 0.264305 0.927955 2.242045 -6.243740 7.880475
0.676667 0.433386 -3.637813 2.920151 -0.119892 0.234083 0.264893 0.927719 2.259165 -6.253803 7.916508
0.680000 0.440945 -3.658676 2.946599 -0.120024 0.234256 0.265469 0.927494 2.276394 -6.263914 7.952565
0.683333 0.448562 -3.679572 2.973168 -0.120147 0.234404 0.266033 0.927279 2.293701 -6.274056 7.988647
0.686667 0.456236 -3.700503 2.999857 -0.120261 0.234530 0.266585 0.927074 2.311042 -6.284207 8.024751
0.690000 0.463969 -3.721467 3.026666 -0.120365 0.234634 0.267125 0.926878 2.328365 -6.294342 8.060876
0.693333 0.471759 -3.742465 3.053596 -0.120460 0.234718 0.267654 0.926692 2.345609 -6.304428 8.097015
0.696667 0.479606 -3.763496 3.080646 -0.120547 0.234784 0.268171 0.926515 2.362700 -6.314430 8.133163
0.700000 0.487510 -3.784561 3.107817 -0.120626 0.234832 0.268676 0.926346 2.379556 -6.324304 8.169309
0.703333 0.495469 -3.805658 3.135108 -0.120697 0.234865 0.269169 0.926185 2.396084 -6.334004 8.205441
